studentIDnumber,firstName,lastName,emailAddress
72437270,Sebastian,Cornish,sebastian.cornish@londonmet.example
98188097,Anna,Blake,anna.blake@londonmet.example
38935760,Joshua,Sanderson,joshua.sanderson@londonmet.example
59046187,Lauren,Vaughan,lauren.vaughan@londonmet.example
63431752,Owen,Lyman,owen.lyman@londonmet.example
1306537,Sam,Vance,sam.vance@londonmet.example
18322583,Sophie,Watson,sophie.watson@londonmet.example
72792008,Steven,Welch,steven.welch@londonmet.example
33298622,Jason,Vaughan,jason.vaughan@londonmet.example
23490012,Amy,Ball,amy.ball@londonmet.example
72934824,Jasmine,Wright,jasmine.wright@londonmet.example
55786706,Steven,Burgess,steven.burgess@londonmet.example
